route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
16,5,3958,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1363
16,5,3959,"RvLN TRENTON",1,"343RL001",1364
16,5,3960,"RvLN TRENTON",1,"343RL002",1364
16,5,3961,"RvLN TRENTON",1,"343RL004",1364
16,5,3962,"RvLN TRENTON",1,"343RL006",1364
16,5,3963,"RvLN TRENTON",1,"343RL003",1364
16,5,3964,"RvLN TRENTON",1,"343RL005",1364
16,5,3965,"RvLN TRENTON",1,"343RL001",1364
16,5,3966,"RvLN TRENTON",1,"343RL002",1364
16,5,3967,"RvLN TRENTON",1,"343RL004",1364
16,5,3968,"RvLN TRENTON",1,"343RL006",1364
16,5,3969,"RvLN TRENTON",1,"343RL003",1364
16,5,3970,"RvLN TRENTON",1,"343RL005",1364
16,5,3971,"RvLN TRENTON",1,"343RL001",1364
16,5,3972,"RvLN TRENTON",1,"343RL002",1364
16,5,3973,"RvLN TRENTON",1,"343RL004",1364
16,5,3974,"RvLN TRENTON",1,"343RL006",1364
16,5,3975,"RvLN TRENTON",1,"343RL003",1364
16,5,3976,"RvLN TRENTON",1,"343RL005",1364
16,5,3977,"RvLN TRENTON",1,"343RL001",1364
16,5,3978,"RvLN TRENTON",1,"343RL002",1364
16,5,3979,"RvLN TRENTON",1,"343RL004",1364
16,5,3980,"RvLN TRENTON",1,"343RL006",1364
16,5,3981,"RvLN TRENTON",1,"343RL003",1364
16,5,3982,"RvLN TRENTON",1,"343RL005",1364
16,5,3983,"RvLN TRENTON",1,"343RL001",1364
16,5,3984,"RvLN TRENTON",1,"343RL002",1364
16,5,3985,"RvLN TRENTON",1,"343RL004",1364
16,5,3986,"RvLN TRENTON",1,"343RL006",1364
16,5,3987,"RvLN TRENTON",1,"343RL003",1364
16,5,3988,"RvLN TRENTON",1,"343RL005",1364
16,5,3989,"RvLN TRENTON",1,"343RL001",1364
16,5,3990,"RvLN TRENTON",1,"343RL002",1364
16,5,3991,"RvLN TRENTON",1,"343RL004",1364
16,5,3992,"RvLN TRENTON",1,"343RL006",1364
16,5,3993,"RvLN TRENTON",1,"343RL003",1364
16,5,3994,"RvLN TRENTON",1,"343RL005",1364
16,5,3995,"RvLN TRENTON",1,"343RL001",1364
16,6,3996,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1365
16,6,3997,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1365
16,6,3998,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1365
16,6,3999,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1365
16,6,4000,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1365
16,6,4001,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1365
16,6,4002,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1365
16,6,4003,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1365
16,6,4004,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1365
16,6,4005,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1365
16,6,4006,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1365
16,6,4007,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1365
16,6,4008,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1365
16,6,4009,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1365
16,6,4010,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1365
16,6,4011,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1365
16,6,4012,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1365
16,6,4013,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1365
16,6,4014,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1365
16,6,4015,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1365
16,6,4016,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1365
16,6,4017,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1365
16,6,4018,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1365
16,6,4019,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1365
16,6,4020,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1365
16,6,4021,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1365
16,6,4022,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1365
16,6,4023,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1365
16,6,4024,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1365
16,6,4025,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1365
16,6,4026,"RvLN BURLINGTON SOUTH",0,"343RL003",1366
16,6,4027,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1367
16,6,4028,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1367
16,6,4029,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1368
16,6,4030,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1368
16,6,4031,"RvLN TRENTON",1,"343RL001",1369
16,6,4032,"RvLN TRENTON",1,"343RL002",1369
16,6,4033,"RvLN TRENTON",1,"343RL004",1369
16,6,4034,"RvLN TRENTON",1,"343RL006",1369
16,6,4035,"RvLN TRENTON",1,"343RL003",1369
